Date,Portfolio_Daily_Return,Portfolio_Cumulative_Return
2023-01-04,0.005195597491551952,0.005195597491551851
2023-01-05,-0.010543598780152175,-0.0054027815839744475
2023-01-06,0.020726211106524783,0.015211450330878451
2023-01-09,0.010860353070011953,0.026237005122190737
2023-01-10,-0.004421393201580138,0.021699607804533505
2023-01-11,0.022650866654669276,0.04484198938204176
2023-01-12,0.009740111675135088,0.05501886704149306
2023-01-13,-0.0012428979891436548,0.05370758621313865
2023-01-17,0.005772427862320141,0.05979003724253351
2023-01-18,0.002227641173221901,0.06215086916446522
2023-01-19,-0.004765379522854823,0.057089317162366315
2023-01-20,0.013878910284261605,0.07176056495771421
2023-01-23,0.013863559010107229,0.08661898079471131
2023-01-24,0.004823328644517521,0.09186010125045496
2023-01-25,-0.0027469786073985817,0.08886078491004801
2023-01-26,0.019448451646155294,0.11003744123476578
2023-01-27,0.01426683351559669,0.12587416060494117
2023-01-30,-0.017785968923420686,0.10584939777273927
2023-01-31,0.015069329809525545,0.12251380706744186
2023-02-01,0.016383255397667496,0.14090423745603586
2023-02-02,0.025625597198548688,0.1701405898872015
2023-02-03,-0.00876737227576175,0.15988153172068098
2023-02-06,-0.0064575505196365676,0.15239153813280115
2023-02-07,0.012946567470652481,0.16731105293384663
2023-02-08,-0.007709809616122261,0.1583113069529316
2023-02-09,-0.008833793403963402,0.14807902416983465
2023-02-10,-0.009664016673527133,0.1369839693377306
2023-02-13,0.010946757046744538,0.14943025661611387
2023-02-14,0.006449628203885927,0.15684365441758508
2023-02-15,0.002253001435029739,0.15945002483109283
2023-02-16,-0.019771604060299274,0.13652583801242835
2023-02-17,0.0012772407794222566,0.1379774551596047
2023-02-21,-0.024881024219000993,0.10966341053710149
2023-02-22,0.0048894190775611865,0.11508901998625332
2023-02-23,0.006651724639344059,0.12250628509555783
2023-02-24,-0.016741921806828746,0.1037133726428141
2023-02-27,0.009543187897683892,0.1142463167431309
2023-02-28,-0.00022660298041771154,0.11399382520683754
2023-03-01,-0.009808175587847951,0.10306757816543044
2023-03-02,-0.003240706421701345,0.0994928599812992
2023-03-03,0.02445711573546675,0.12638328410818112
2023-03-06,0.0002452447330209221,0.12665952367597155
2023-03-07,-0.007324950697274835,0.11840679821242994
2023-03-08,-0.001079058434445679,0.11719997192367737
2023-03-09,-0.010952629473208627,0.10496369458371824
2023-03-10,0.006522356819589337,0.11217066207248494
2023-03-13,0.007101976084519524,0.12006927151642799
2023-03-14,0.009419211905498038,0.1306194413336781
2023-03-15,0.01091053168036048,0.14295510056678062
2023-03-16,0.013929719855662104,0.15887614492527602
2023-03-17,0.004893762924298562,0.16454741003716555
2023-03-20,-0.002761260285064798,0.16133179152375487
2023-03-21,0.011997041632548224,0.17526433737586733
2023-03-22,-0.003284695888280676,0.1714039514392458
2023-03-23,0.006991122580880104,0.17959338005548497
2023-03-24,0.004072461987355047,0.18439722925629676
2023-03-27,-0.01538434030886432,0.1661760592205419
2023-03-28,-0.0034787725425304283,0.16211919796596908
2023-03-29,0.0093313010925817,0.1729632821076592
2023-03-30,0.006031386753625656,0.18003787730985277
2023-03-31,0.021044910508420465,0.204871668834385
2023-04-03,-0.002648655580225756,0.201680378765271
2023-04-04,0.0001409401150334501,0.20184974373608755
2023-04-05,-0.003161629341756323,0.19804994032190915
2023-04-06,0.009612030112807346,0.20956563242493043
2023-04-10,-0.012003340191856398,0.19504680465455593
2023-04-11,-0.003476242796875772,0.1908925318079462
2023-04-12,-0.005141710903298996,0.18476930669249203
2023-04-13,0.012295488473742476,0.1993366240469734
2023-04-14,-0.005278665286001082,0.19300572744338695
2023-04-17,-0.004547863649120099,0.18758010006235515
2023-04-18,-0.00045376549312607954,0.18704121719262368
2023-04-19,-0.0016385368975845196,0.18509620635930002
2023-04-20,-0.00789997969423501,0.17573397039334648
2023-04-21,-0.002424468902237226,0.1728834399448238
2023-04-24,0.0011600393640381628,0.1742440309045883
2023-04-25,-0.003658533910691564,0.16994801929809666
2023-04-26,0.0017274303407493804,0.17196902300373162
2023-04-27,0.015015110126608522,0.1895662669491065
2023-04-28,0.011972216411756798,0.2038080117331469
2023-05-01,-0.014183991415562083,0.18673320922873904
2023-05-02,0.005148660189567427,0.19284329525873267
2023-05-03,0.00035289031924775087,0.19326423811000915
2023-05-04,-0.005964878200974649,0.186146562268104
2023-05-05,0.016470598964936932,0.20568310660886047
2023-05-08,-0.0035043458620451105,0.20145797600327797
2023-05-09,-0.006093646936694164,0.19413671528823895
2023-05-10,0.012244607186364352,0.20875845029375895
2023-05-11,0.009575559052027328,0.2203329882141838
2023-05-12,-0.006418924639859846,0.21249976272730198
2023-05-15,-0.005816175270156487,0.20544765159225697
2023-05-16,0.0019122451328570493,0.20775276299692824
