Asset,Original_Portfolio_%,Optimal_Portfolio_%
AAPL,15.0,30.914647192171902
MSFT,15.0,13.564975719598104
GOOGL,10.0,9.485343747122776
TSLA,10.0,3.9567802344114784
SPY,10.0,41.476608411803625
TLT,40.0,0.6016446948921242
