portfolio_id,asset,weight,annual_return,annual_volatility,sharpe_ratio
0,AAPL,0.12619616341660506,36.737699613506905,18.168810248586144,2.0220201053817353
0,GOOGL,0.3203301647455944,36.737699613506905,18.168810248586144,2.0220201053817353
0,MSFT,0.2466353334459286,36.737699613506905,18.168810248586144,2.0220201053817353
0,SPY,0.20170977713940116,36.737699613506905,18.168810248586144,2.0220201053817353
0,TLT,0.05256834409596097,36.737699613506905,18.168810248586144,2.0220201053817353
0,TSLA,0.05256021715650978,36.737699613506905,18.168810248586144,2.0220201053817353
1,AAPL,0.018016334562555865,49.675775560817506,25.29788112939618,1.9636338437488414
1,GOOGL,0.26866991651959,49.675775560817506,25.29788112939618,1.9636338437488414
1,MSFT,0.18645343768874048,49.675775560817506,25.29788112939618,1.9636338437488414
1,SPY,0.21962946139099207,49.675775560817506,25.29788112939618,1.9636338437488414
1,TLT,0.006384884172841482,49.675775560817506,25.29788112939618,1.9636338437488414
1,TSLA,0.3008459656652802,49.675775560817506,25.29788112939618,1.9636338437488414
2,AAPL,0.3717905131354456,43.04520112191449,21.436416740383937,2.0080408793705664
2,GOOGL,0.094836164137257,43.04520112191449,21.436416740383937,2.0080408793705664
2,MSFT,0.0812077547994935,43.04520112191449,21.436416740383937,2.0080408793705664
2,SPY,0.08191321958735549,43.04520112191449,21.436416740383937,2.0080408793705664
2,TLT,0.13588249097696645,43.04520112191449,21.436416740383937,2.0080408793705664
2,TSLA,0.23436985736348193,43.04520112191449,21.436416740383937,2.0080408793705664
3,AAPL,0.2025032671489778,39.883086710453235,19.3423078598887,2.061961116499504
3,GOOGL,0.1365332388008259,39.883086710453235,19.3423078598887,2.061961116499504
3,MSFT,0.2868471792668119,39.883086710453235,19.3423078598887,2.061961116499504
3,SPY,0.06539712535188955,39.883086710453235,19.3423078598887,2.061961116499504
3,TLT,0.13696244488349618,39.883086710453235,19.3423078598887,2.061961116499504
3,TSLA,0.17175674454799864,39.883086710453235,19.3423078598887,2.061961116499504
4,AAPL,0.17581596674417369,28.985729296546374,15.206076124897594,1.9061938831863885
4,GOOGL,0.3026870337752916,28.985729296546374,15.206076124897594,1.9061938831863885
4,MSFT,0.07697467550710657,28.985729296546374,15.206076124897594,1.9061938831863885
4,SPY,0.1982384898187281,28.985729296546374,15.206076124897594,1.9061938831863885
4,TLT,0.22837709944149012,28.985729296546374,15.206076124897594,1.9061938831863885
4,TSLA,0.017906734713209842,28.985729296546374,15.206076124897594,1.9061938831863885
5,AAPL,0.17036982781386154,35.32187008782884,18.911742894235005,1.8677215677776715
5,GOOGL,0.047818964311505015,35.32187008782884,18.911742894235005,1.8677215677776715
5,MSFT,0.018241992605539242,35.32187008782884,18.911742894235005,1.8677215677776715
5,SPY,0.26608976290550496,35.32187008782884,18.911742894235005,1.8677215677776715
5,TLT,0.2707858731607701,35.32187008782884,18.911742894235005,1.8677215677776715
5,TSLA,0.22669357920281916,35.32187008782884,18.911742894235005,1.8677215677776715
6,AAPL,0.14208483625333332,43.43581395823309,21.391445452661806,2.0305226243057937
6,GOOGL,0.04555843408777579,43.43581395823309,21.391445452661806,2.0305226243057937
6,MSFT,0.31915542687031423,43.43581395823309,21.391445452661806,2.0305226243057937
6,SPY,0.20530587034591188,43.43581395823309,21.391445452661806,2.0305226243057937
6,TLT,0.056923830664717304,43.43581395823309,21.391445452661806,2.0305226243057937
6,TSLA,0.23097160177794746,43.43581395823309,21.391445452661806,2.0305226243057937
7,AAPL,0.012751648242151687,40.79990481956161,20.62558990332769,1.978120626405892
7,GOOGL,0.33718617523186056,40.79990481956161,20.62558990332769,1.978120626405892
7,MSFT,0.09595851145845195,40.79990481956161,20.62558990332769,1.978120626405892
7,SPY,0.2456706729074796,40.79990481956161,20.62558990332769,1.978120626405892
7,TLT,0.11558595329404017,40.79990481956161,20.62558990332769,1.978120626405892
7,TSLA,0.19284703886601612,40.79990481956161,20.62558990332769,1.978120626405892
8,AAPL,0.1268290270701349,36.87116528710973,18.81232066007431,1.9599477360261033
8,GOOGL,0.04288361062470721,36.87116528710973,18.81232066007431,1.9599477360261033
8,MSFT,0.22492987537979695,36.87116528710973,18.81232066007431,1.9599477360261033
8,SPY,0.17981981600036537,36.87116528710973,18.81232066007431,1.9599477360261033
8,TLT,0.21795042309272125,36.87116528710973,18.81232066007431,1.9599477360261033
8,TSLA,0.2075872478322744,36.87116528710973,18.81232066007431,1.9599477360261033
9,AAPL,0.2749209122384188,44.816627580716,21.96072031195346,2.0407630962961547
9,GOOGL,0.42388779836657003,44.816627580716,21.96072031195346,2.0407630962961547
9,MSFT,0.040689814772615615,44.816627580716,21.96072031195346,2.0407630962961547
9,SPY,0.0901150513945611,44.816627580716,21.96072031195346,2.0407630962961547
9,TLT,0.02079599927412662,44.816627580716,21.96072031195346,2.0407630962961547
9,TSLA,0.14959042395370784,44.816627580716,21.96072031195346,2.0407630962961547
10,AAPL,0.1456184992632874,41.47821614916763,20.302189129951074,2.0430415598865808
10,GOOGL,0.10166130059985874,41.47821614916763,20.302189129951074,2.0430415598865808
10,MSFT,0.31048768623016504,41.47821614916763,20.302189129951074,2.0430415598865808
10,SPY,0.13365814113247784,41.47821614916763,20.302189129951074,2.0430415598865808
10,TLT,0.10525251353025195,41.47821614916763,20.302189129951074,2.0430415598865808
10,TSLA,0.20332185924395904,41.47821614916763,20.302189129951074,2.0430415598865808
11,AAPL,0.04736122127189736,28.43269467650316,14.790552493763224,1.9223551445081215
11,GOOGL,0.2695989899248623,28.43269467650316,14.790552493763224,1.9223551445081215
