Asset,Annual_Return_%,Annual_Volatility_%,Sharpe_Ratio,Weight_in_Original_Portfolio_%,Weight_in_Optimal_Portfolio_%
AAPL,38.23026180026641,21.454545325668114,1.7819189929197852,15.0,30.914647192171902
GOOGL,42.2590159768381,29.011096855455975,1.4566500600576449,10.0,9.485343747122776
MSFT,35.281042753068355,22.714550920556412,1.5532353193537896,15.0,13.564975719598104
SPY,25.84456375892462,12.672960359449142,2.0393470054259693,10.0,41.476608411803625
TLT,0.5406702542661481,16.460325982895174,0.03284687404295566,40.0,0.6016446948921242
TSLA,84.34658108590097,57.823086414552094,1.458700777077057,10.0,3.9567802344114784
