Date,AAPL,GOOGL,MSFT,SPY,TLT,TSLA,Portfolio_Value,SPY_Value,Portfolio_Daily_Return
2023-01-03,123.21121978759766,88.4516830444336,233.98562622070312,366.069091796875,90.17121124267578,108.0999984741211,,,
2023-01-04,124.48204040527344,87.41948699951172,223.75035095214844,368.895263671875,91.40655517578125,113.63999938964844,100.51955974915518,100.77203236720355,0.005195597491551952
2023-01-05,123.16194152832031,85.55358123779297,217.11888122558594,364.68487548828125,91.78874206542969,110.33999633789062,99.45972184160256,99.6218702043925,-0.010543598780152175
2023-01-06,127.69355010986328,86.6850357055664,219.67770385742188,373.0478515625,93.47731018066406,113.05999755859375,101.52114503308785,101.90640508090134,0.020726211106524783
2023-01-09,128.2156982421875,87.35993194580078,221.81661987304688,372.83636474609375,93.97501373291016,119.7699966430664,102.62370051221907,101.84863270373393,0.010860353070011953
2023-01-10,128.78707885742188,87.7569351196289,223.50621032714844,375.4510498046875,92.41972351074219,118.8499984741211,102.16996078045335,102.56289269377005,-0.004421393201580138
2023-01-11,131.50608825683594,90.83368682861328,230.2646026611328,380.19970703125,93.92168426513672,123.22000122070312,104.48419893820417,103.86009514351893,0.022650866654669276
2023-01-12,131.4272918701172,90.44660949707031,232.94064331054688,381.58392333984375,95.77027130126953,123.55999755859375,105.5018867041493,104.23822493912643,0.009740111675135088
2023-01-13,132.75721740722656,91.42919158935547,233.64382934570312,383.064208984375,94.87265014648438,122.4000015258789,105.37075862131387,104.64259823304893,-0.0012428979891436548
2023-01-17,133.91964721679688,90.60540771484375,234.7376708984375,382.36248779296875,94.25941467285156,131.49000549316406,105.97900372425335,104.4509073181012,0.005772427862320141
2023-01-18,133.20050048828125,90.43668365478516,230.3036346435547,376.3257751464844,96.54344940185547,128.77999877929688,106.21508691644652,102.80184358074693,0.002227641173221901
2023-01-19,133.25962829589844,92.35222625732422,226.51426696777344,373.5861511230469,95.93913269042969,127.16999816894531,105.70893171623663,102.0534537044015,-0.004765379522854823
2023-01-20,135.8209686279297,97.28492736816406,234.61070251464844,380.5457763671875,94.38383483886719,133.4199981689453,107.17605649577142,103.95463176070197,0.013878910284261605
2023-01-23,139.0128173828125,99.04167175292969,236.91558837890625,385.1117248535156,93.93946838378906,143.75,108.66189807947113,105.20192321159061,0.013863559010107229
2023-01-24,140.41172790527344,96.96735382080078,236.38819885253906,384.69842529296875,95.29033660888672,143.88999938964844,109.1860101250455,105.08902114752445,0.004823328644517521
